model_pair,conclusion_agreement,favor_agreement,against_agreement,reasoning_divergence,specialization_type
gpt-5-nano & nemotron-nano-9b,0.5912408759124088,0.5912408759124088,0.4890510948905109,0.10218978102189791,similar_conclusions_different_reasoning
gpt-5-nano & grok-4-fast,0.5912408759124088,0.6277372262773723,0.5474452554744526,0.08029197080291972,aligned_reasoning
gemma-3-27b & nemotron-nano-9b,0.583941605839416,0.5401459854014599,0.4671532846715328,0.07299270072992708,aligned_reasoning
deepseek-chat-v3.1 & gemma-3-27b,0.7226277372262774,0.5474452554744526,0.4890510948905109,0.058394160583941646,aligned_reasoning
deepseek-chat-v3.1 & grok-4-fast,0.6715328467153284,0.5401459854014599,0.4963503649635036,0.04379562043795626,aligned_reasoning
grok-4-fast & kimi-k2,0.5036496350364964,0.3941605839416058,0.4306569343065693,0.036496350364963515,aligned_reasoning
deepseek-chat-v3.1 & kimi-k2,0.4890510948905109,0.4233576642335766,0.4525547445255474,0.029197080291970767,aligned_reasoning
grok-4-fast & nemotron-nano-9b,0.7518248175182481,0.5474452554744526,0.5182481751824818,0.029197080291970767,aligned_reasoning
deepseek-chat-v3.1 & gpt-5-nano,0.6131386861313869,0.5182481751824818,0.4963503649635036,0.021897810218978186,aligned_reasoning
gemma-3-27b & gpt-5-nano,0.6058394160583942,0.5109489051094891,0.4963503649635036,0.014598540145985495,aligned_reasoning
kimi-k2 & nemotron-nano-9b,0.4890510948905109,0.4087591240875912,0.4233576642335766,0.01459854014598544,aligned_reasoning
gpt-5-nano & kimi-k2,0.4671532846715328,0.3868613138686131,0.4014598540145985,0.014598540145985384,aligned_reasoning
deepseek-chat-v3.1 & nemotron-nano-9b,0.656934306569343,0.5255474452554745,0.5401459854014599,0.014598540145985384,aligned_reasoning
gemma-3-27b & kimi-k2,0.6058394160583942,0.4233576642335766,0.4160583941605839,0.007299270072992747,aligned_reasoning
gemma-3-27b & grok-4-fast,0.6058394160583942,0.5328467153284672,0.5401459854014599,0.007299270072992692,aligned_reasoning
